name,params,desc
checks.create,!owner;!repo;!name;!head_sha;details_url;external_id;status;started_at;conclusion;completed_at;output;!output.title;!output.summary;output.text;output.annotations;!output.annotations[].path;!output.annotations[].start_line;!output.annotations[].end_line;output.annotations[].start_column;output.annotations[].end_column;!output.annotations[].annotation_level;!output.annotations[].message;output.annotations[].title;output.annotations[].raw_details;output.images;!output.images[].alt;!output.images[].image_url;output.images[].caption;actions;!actions[].label;!actions[].description;!actions[].identifier,"Create a check run"
checks.createSuite,!owner;!repo;!head_sha,"Create a check suite"
checks.get,!owner;!repo;!check_run_id,"Get a single check run"
checks.getSuite,!owner;!repo;!check_suite_id,"Get a single check suite"
checks.listAnnotations,!owner;!repo;!check_run_id;per_page;page,"List annotations for a check run"
checks.listForRef,!owner;!repo;!ref;check_name;status;filter;per_page;page,"List check runs for a specific ref"
checks.listForSuite,!owner;!repo;!check_suite_id;check_name;status;filter;per_page;page,"List check runs in a check suite"
checks.listSuitesForRef,!owner;!repo;!ref;app_id;check_name;per_page;page,"List check suites for a specific ref"
checks.rerequestSuite,!owner;!repo;!check_suite_id,"Rerequest check suite"
checks.setSuitesPreferences,!owner;!repo;auto_trigger_checks;!auto_trigger_checks[].app_id;!auto_trigger_checks[].setting,"Set preferences for check suites on a repository"
checks.update,!owner;!repo;!check_run_id;name;details_url;external_id;started_at;status;conclusion;completed_at;output;output.title;!output.summary;output.text;output.annotations;!output.annotations[].path;!output.annotations[].start_line;!output.annotations[].end_line;output.annotations[].start_column;output.annotations[].end_column;!output.annotations[].annotation_level;!output.annotations[].message;output.annotations[].title;output.annotations[].raw_details;output.images;!output.images[].alt;!output.images[].image_url;output.images[].caption;actions;!actions[].label;!actions[].description;!actions[].identifier,"Update a check run"
codesOfConduct.getConductCode,!key,"Get an individual code of conduct"
codesOfConduct.getForRepo,!owner;!repo,"Get the contents of a repository's code of conduct"
codesOfConduct.listConductCodes,,"List all codes of conduct"
emojis.get,,"Get"
gists.checkIsStarred,!gist_id,"Check if a gist is starred"
gists.create,!files;files.content;description;public,"Create a gist"
gists.createComment,!gist_id;!body,"Create a comment"
gists.delete,!gist_id,"Delete a gist"
gists.deleteComment,!gist_id;!comment_id,"Delete a comment"
gists.fork,!gist_id,"Fork a gist"
gists.get,!gist_id,"Get a single gist"
gists.getComment,!gist_id;!comment_id,"Get a single comment"
gists.getRevision,!gist_id;!sha,"Get a specific revision of a gist"
gists.list,since;per_page;page,"List the authenticated user's gists or if called anonymously, this will return all public gists"
gists.listComments,!gist_id;per_page;page,"List comments on a gist"
gists.listCommits,!gist_id;per_page;page,"List gist commits"
gists.listForks,!gist_id;per_page;page,"List gist forks"
gists.listPublic,since;per_page;page,"List all public gists"
gists.listPublicForUser,!username;since;per_page;page,"List public gists for the specified user"
gists.listStarred,since;per_page;page,"List starred gists"
gists.star,!gist_id,"Star a gist"
gists.unstar,!gist_id,"Unstar a gist"
gists.update,!gist_id;description;files;files.content;files.filename,"Edit a gist"
gists.updateComment,!gist_id;!comment_id;!body,"Edit a comment"
git.createBlob,!owner;!repo;!content;encoding,"Create a blob"
git.createCommit,!owner;!repo;!message;!tree;!parents;author;author.name;author.email;author.date;committer;committer.name;committer.email;committer.date;signature,"Create a commit"
git.createRef,!owner;!repo;!ref;!sha,"Create a reference"
