name,params,desc
repos.getDeployment,!owner;!repo;!deployment_id,"Get a single deployment"
repos.getDeploymentStatus,!owner;!repo;!deployment_id;!status_id,"Get a single deployment status"
repos.getDownload,!owner;!repo;!download_id,"Get a single download"
repos.getHook,!owner;!repo;!hook_id,"Get single hook"
repos.getLatestPagesBuild,!owner;!repo,"Get latest Pages build"
repos.getLatestRelease,!owner;!repo,"Get the latest release"
repos.getPages,!owner;!repo,"Get information about a Pages site"
repos.getPagesBuild,!owner;!repo;!build_id,"Get a specific Pages build"
repos.getParticipationStats,!owner;!repo,"Get the weekly commit count for the repository owner and everyone else"
repos.getProtectedBranchAdminEnforcement,!owner;!repo;!branch,"Get admin enforcement of protected branch"
repos.getProtectedBranchPullRequestReviewEnforcement,!owner;!repo;!branch,"Get pull request review enforcement of protected branch"
repos.getProtectedBranchRequiredSignatures,!owner;!repo;!branch,"Get required signatures of protected branch"
repos.getProtectedBranchRequiredStatusChecks,!owner;!repo;!branch,"Get required status checks of protected branch"
repos.getProtectedBranchRestrictions,!owner;!repo;!branch,"Get restrictions of protected branch"
repos.getPunchCardStats,!owner;!repo,"Get the number of commits per hour in each day"
repos.getReadme,!owner;!repo;ref,"Get the README"
repos.getRelease,!owner;!repo;!release_id,"Get a single release"
repos.getReleaseAsset,!owner;!repo;!asset_id,"Get a single release asset"
repos.getReleaseByTag,!owner;!repo;!tag,"Get a release by tag name"
repos.getTeamsWithAccessToProtectedBranch,!owner;!repo;!branch,"Get teams with access to protected branch"
repos.getTopPaths,!owner;!repo,"List paths"
repos.getTopReferrers,!owner;!repo,"List referrers"
repos.getUsersWithAccessToProtectedBranch,!owner;!repo;!branch,"Get users with access to protected branch"
repos.getViews,!owner;!repo;per,"Views"
repos.list,visibility;affiliation;type;sort;direction;per_page;page,"List your repositories"
repos.listAssetsForRelease,!owner;!repo;!release_id;per_page;page,"List assets for a release"
repos.listBranches,!owner;!repo;protected;per_page;page,"List branches"
repos.listBranchesForHeadCommit,!owner;!repo;!commit_sha,"List branches for HEAD commit"
repos.listCollaborators,!owner;!repo;affiliation;per_page;page,"List collaborators"
repos.listCommentsForCommit,!owner;!repo;!commit_sha;per_page;page,"List comments for a single commit"
repos.listCommitComments,!owner;!repo;per_page;page,"List commit comments for a repository"
repos.listCommits,!owner;!repo;sha;path;author;since;until;per_page;page,"List commits on a repository"
repos.listContributors,!owner;!repo;anon;per_page;page,"List contributors"
repos.listDeployKeys,!owner;!repo;per_page;page,"List deploy keys"
repos.listDeploymentStatuses,!owner;!repo;!deployment_id;per_page;page,"List deployment statuses"
repos.listDeployments,!owner;!repo;sha;ref;task;environment;per_page;page,"List deployments"
repos.listDownloads,!owner;!repo;per_page;page,"List downloads for a repository"
repos.listForOrg,!org;type;sort;direction;per_page;page,"List organization repositories"
repos.listForUser,!username;type;sort;direction;per_page;page,"List user repositories"
repos.listForks,!owner;!repo;sort;per_page;page,"List forks"
repos.listHooks,!owner;!repo;per_page;page,"List hooks"
repos.listInvitations,!owner;!repo;per_page;page,"List invitations for a repository"
repos.listInvitationsForAuthenticatedUser,per_page;page,"List a user's repository invitations"
repos.listLanguages,!owner;!repo,"List languages"
repos.listPagesBuilds,!owner;!repo;per_page;page,"List Pages builds"
repos.listProtectedBranchRequiredStatusChecksContexts,!owner;!repo;!branch,"List required status checks contexts of protected branch"
repos.listPublic,since;per_page;page,"List all public repositories"
repos.listPullRequestsAssociatedWithCommit,!owner;!repo;!commit_sha;per_page;page,"List pull requests associated with commit"
repos.listReleases,!owner;!repo;per_page;page,"List releases for a repository"
repos.listStatusesForRef,!owner;!repo;!ref;per_page;page,"List statuses for a specific ref"
repos.listTags,!owner;!repo;per_page;page,"List tags"
repos.listTeams,!owner;!repo;per_page;page,"List teams"
repos.listTopics,!owner;!repo,"List all topics for a repository"
repos.merge,!owner;!repo;!base;!head;commit_message,"Perform a merge"
repos.pingHook,!owner;!repo;!hook_id,"Ping a hook"
repos.removeBranchProtection,!owner;!repo;!branch,"Remove branch protection"
repos.removeCollaborator,!owner;!repo;!username,"Remove user as a collaborator"
repos.removeDeployKey,!owner;!repo;!key_id,"Remove a deploy key"
repos.removeProtectedBranchAdminEnforcement,!owner;!repo;!branch,"Remove admin enforcement of protected branch"
repos.removeProtectedBranchAppRestrictions,!owner;!repo;!branch;!apps,"Remove app restrictions of protected branch"
repos.removeProtectedBranchPullRequestReviewEnforcement,!owner;!repo;!branch,"Remove pull request review enforcement of protected branch"
repos.removeProtectedBranchRequiredSignatures,!owner;!repo;!branch,"Remove required signatures of protected branch"
repos.removeProtectedBranchRequiredStatusChecks,!owner;!repo;!branch,"Remove required status checks of protected branch"
repos.removeProtectedBranchRequiredStatusChecksContexts,!owner;!repo;!branch;!contexts,"Remove required status checks contexts of protected branch"
repos.removeProtectedBranchRestrictions,!owner;!repo;!branch,"Remove restrictions of protected branch"
repos.removeProtectedBranchTeamRestrictions,!owner;!repo;!branch;!teams,"Remove team restrictions of protected branch"
repos.removeProtectedBranchUserRestrictions,!owner;!repo;!branch;!users,"Remove user restrictions of protected branch"
repos.replaceProtectedBranchAppRestrictions,!owner;!repo;!branch;!apps,"Replace app restrictions of protected branch"
repos.replaceProtectedBranchRequiredStatusChecksContexts,!owner;!repo;!branch;!contexts,"Replace required status checks contexts of protected branch"
repos.replaceProtectedBranchTeamRestrictions,!owner;!repo;!branch;!teams,"Replace team restrictions of protected branch"
repos.replaceProtectedBranchUserRestrictions,!owner;!repo;!branch;!users,"Replace user restrictions of protected branch"
repos.replaceTopics,!owner;!repo;!names,"Replace all topics for a repository"
repos.requestPageBuild,!owner;!repo,"Request a page build"
repos.retrieveCommunityProfileMetrics,!owner;!repo,"Retrieve community profile metrics"
repos.testPushHook,!owner;!repo;!hook_id,"Test a push hook"
repos.transfer,!owner;!repo;new_owner;team_ids,"Transfer a repository"
repos.update,!owner;!repo;name;description;homepage;private;visibility;has_issues;has_projects;has_wiki;is_template;default_branch;allow_squash_merge;allow_merge_commit;allow_rebase_merge;delete_branch_on_merge;archived,"Edit"
repos.updateBranchProtection,!owner;!repo;!branch;!required_status_checks;!required_status_checks.strict;!required_status_checks.contexts;!enforce_admins;!required_pull_request_reviews;required_pull_request_reviews.dismissal_restrictions;required_pull_request_reviews.dismissal_restrictions.users;required_pull_request_reviews.dismissal_restrictions.teams;required_pull_request_reviews.dismiss_stale_reviews;required_pull_request_reviews.require_code_owner_reviews;required_pull_request_reviews.required_approving_review_count;!restrictions;!restrictions.users;!restrictions.teams;restrictions.apps;required_linear_history;allow_force_pushes;allow_deletions,"Update branch protection"
repos.updateCommitComment,!owner;!repo;!comment_id;!body,"Update a commit comment"
repos.updateHook,!owner;!repo;!hook_id;config;!config.url;config.content_type;config.secret;config.insecure_ssl;events;add_events;remove_events;active,"Edit a hook"
repos.updateInformationAboutPagesSite,!owner;!repo;cname;source,"Update information about a Pages site"
repos.updateInvitation,!owner;!repo;!invitation_id;permissions,"Update a repository invitation"
repos.updateProtectedBranchPullRequestReviewEnforcement,!owner;!repo;!branch;dismissal_restrictions;dismissal_restrictions.users;dismissal_restrictions.teams;dismiss_stale_reviews;require_code_owner_reviews;required_approving_review_count,"Update pull request review enforcement of protected branch"
repos.updateProtectedBranchRequiredStatusChecks,!owner;!repo;!branch;strict;contexts,"Update required status checks of protected branch"
repos.updateRelease,!owner;!repo;!release_id;tag_name;target_commitish;name;body;draft;prerelease,"Edit a release"
repos.updateReleaseAsset,!owner;!repo;!asset_id;name;label,"Edit a release asset"
repos.uploadReleaseAsset,!owner;!repo;!release_id;name;label;!data;origin,"Upload a release asset"
search.code,!q;sort;order;per_page;page,"Search code"
search.commits,!q;sort;order;per_page;page,"Search commits"
search.issuesAndPullRequests,!q;sort;order;per_page;page,"Search issues and pull requests"
search.labels,!repository_id;!q;sort;order,"Search labels"
search.repos,!q;sort;order;per_page;page,"Search repositories"
search.topics,!q,"Search topics"
search.users,!q;sort;order;per_page;page,"Search users"
teams.addOrUpdateMembershipInOrg,!org;!team_slug;!username;role,"Add or update team membership"
teams.addOrUpdateProjectInOrg,!org;!team_slug;!project_id;permission,"Add or update team project"
teams.addOrUpdateRepoInOrg,!org;!team_slug;!owner;!repo;permission,"Add or update team repository"
teams.checkManagesRepoInOrg,!org;!team_slug;!owner;!repo,"Check if a team manages a repository"
teams.create,!org;!name;description;maintainers;repo_names;privacy;permission;parent_team_id,"Create team"
teams.createDiscussionCommentInOrg,!org;!team_slug;!discussion_number;!body,"Create a comment"
teams.createDiscussionInOrg,!org;!team_slug;!title;!body;private,"Create a discussion"
teams.deleteDiscussionCommentInOrg,!org;!team_slug;!discussion_number;!comment_number,"Delete a comment"
teams.deleteDiscussionInOrg,!org;!team_slug;!discussion_number,"Delete a discussion"
teams.deleteInOrg,!org;!team_slug,"Delete team"
teams.getByName,!org;!team_slug,"Get team by name"
teams.getDiscussionCommentInOrg,!org;!team_slug;!discussion_number;!comment_number,"Get a single comment"
teams.getDiscussionInOrg,!org;!team_slug;!discussion_number,"Get a single discussion"
teams.getMembershipInOrg,!org;!team_slug;!username,"Get team membership"
teams.list,!org;per_page;page,"List teams"
teams.listChildInOrg,!org;!team_slug;per_page;page,"List child teams"
teams.listDiscussionCommentsInOrg,!org;!team_slug;!discussion_number;direction;per_page;page,"List comments"
teams.listDiscussionsInOrg,!org;!team_slug;direction;per_page;page,"List discussions"
teams.listForAuthenticatedUser,per_page;page,"List user teams"
teams.listMembersInOrg,!org;!team_slug;role;per_page;page,"List team members"
teams.listPendingInvitationsInOrg,!org;!team_slug;per_page;page,"List pending team invitations"
teams.listProjectsInOrg,!org;!team_slug;per_page;page,"List team projects"
teams.listReposInOrg,!org;!team_slug;per_page;page,"List team repos"
teams.removeMembershipInOrg,!org;!team_slug;!username,"Remove team membership"
teams.removeProjectInOrg,!org;!team_slug;!project_id,"Remove team project"
teams.removeRepoInOrg,!org;!team_slug;!owner;!repo,"Remove team repository"
teams.reviewProjectInOrg,!org;!team_slug;!project_id,"Review a team project"
teams.updateDiscussionCommentInOrg,!org;!team_slug;!discussion_number;!comment_number;!body,"Edit a comment"
teams.updateDiscussionInOrg,!org;!team_slug;!discussion_number;title;body,"Edit a discussion"
teams.updateInOrg,!org;!team_slug;!name;description;privacy;permission;parent_team_id,"Edit team"
users.addEmails,!emails,"Add email address(es)"
users.block,!username,"Block a user"
users.checkBlocked,!username,"Check whether you've blocked a user"
users.checkFollowing,!username,"Check if you are following a user"
users.checkFollowingForUser,!username;!target_user,"Check if one user follows another"
users.createGpgKey,armored_public_key,"Create a GPG key"
users.createPublicKey,title;key,"Create a public key"
users.deleteEmails,!emails,"Delete email address(es)"
users.deleteGpgKey,!gpg_key_id,"Delete a GPG key"
users.deletePublicKey,!key_id,"Delete a public key"
users.follow,!username,"Follow a user"
users.getAuthenticated,,"Get the authenticated user"
users.getByUsername,!username,"Get a single user"
users.getContextForUser,!username;subject_type;subject_id,"Get contextual information about a user"
users.getGpgKey,!gpg_key_id,"Get a single GPG key"
users.getPublicKey,!key_id,"Get a single public key"
users.list,since;per_page;page,"Get all users"
users.listBlocked,,"List blocked users"
users.listEmails,per_page;page,"List email addresses for a user"
users.listFollowersForAuthenticatedUser,per_page;page,"List the authenticated user's followers"
users.listFollowersForUser,!username;per_page;page,"List a user's followers"
users.listFollowingForAuthenticatedUser,per_page;page,"List who the authenticated user is following"
users.listFollowingForUser,!username;per_page;page,"List who a user is following"
users.listGpgKeys,per_page;page,"List your GPG keys"
users.listGpgKeysForUser,!username;per_page;page,"List GPG keys for a user"
users.listPublicEmails,per_page;page,"List public email addresses for a user"
users.listPublicKeys,per_page;page,"List your public keys"
users.listPublicKeysForUser,!username;per_page;page,"List public keys for a user"
users.togglePrimaryEmailVisibility,!email;!visibility,"Toggle primary email visibility"
users.unblock,!username,"Unblock a user"
users.unfollow,!username,"Unfollow a user"
users.updateAuthenticated,name;email;blog;company;location;hireable;bio,"Update the authenticated user"
